,timestamp,15min_traffic_count
1965,2022-04-01 17:15:00,431
1966,2022-04-01 17:30:00,429
1967,2022-04-01 17:45:00,507
1968,2022-04-01 18:00:00,411
1969,2022-04-01 18:15:00,422
1970,2022-04-01 18:30:00,368
1971,2022-04-01 18:45:00,399
1972,2022-04-01 19:00:00,426
1973,2022-04-01 19:15:00,411
1974,2022-04-01 19:30:00,412
1975,2022-04-01 19:45:00,400
1976,2022-04-01 20:00:00,336
1977,2022-04-01 20:15:00,325
1978,2022-04-01 20:30:00,333
1979,2022-04-01 20:45:00,291
1980,2022-04-01 21:00:00,288
1981,2022-04-01 21:15:00,236
1982,2022-04-01 21:30:00,248
1983,2022-04-01 21:45:00,244
1984,2022-04-01 22:00:00,238
1985,2022-04-01 22:15:00,265
1986,2022-04-01 22:30:00,214
1987,2022-04-01 22:45:00,161
1988,2022-04-01 23:00:00,156
1989,2022-04-01 23:15:00,150
1990,2022-04-01 23:30:00,137
1991,2022-04-01 23:45:00,118
2016,2022-04-02 06:00:00,20
2017,2022-04-02 06:15:00,38
2018,2022-04-02 06:30:00,60
2019,2022-04-02 06:45:00,75
2020,2022-04-02 07:00:00,72
2021,2022-04-02 07:15:00,82
2022,2022-04-02 07:30:00,147
2023,2022-04-02 07:45:00,150
2024,2022-04-02 08:00:00,189
2025,2022-04-02 08:15:00,201
2026,2022-04-02 08:30:00,187
2027,2022-04-02 08:45:00,233
2028,2022-04-02 09:00:00,221
2029,2022-04-02 09:15:00,211
2030,2022-04-02 09:30:00,249
2031,2022-04-02 09:45:00,282
2032,2022-04-02 10:00:00,297
2033,2022-04-02 10:15:00,232
2034,2022-04-02 10:30:00,285
2035,2022-04-02 10:45:00,253
2036,2022-04-02 11:00:00,308
2037,2022-04-02 11:15:00,318
2038,2022-04-02 11:30:00,361
2039,2022-04-02 11:45:00,348
2040,2022-04-02 12:00:00,387
2041,2022-04-02 12:15:00,361
2042,2022-04-02 12:30:00,348
2043,2022-04-02 12:45:00,336
2044,2022-04-02 13:00:00,396
2045,2022-04-02 13:15:00,423
2046,2022-04-02 13:30:00,407
2047,2022-04-02 13:45:00,361
2048,2022-04-02 14:00:00,368
2049,2022-04-02 14:15:00,348
2050,2022-04-02 14:30:00,318
2051,2022-04-02 14:45:00,365
2052,2022-04-02 15:00:00,361
2053,2022-04-02 15:15:00,344
2054,2022-04-02 15:30:00,361
2055,2022-04-02 15:45:00,325
2056,2022-04-02 16:00:00,317
2057,2022-04-02 16:15:00,305
2058,2022-04-02 16:30:00,297
2059,2022-04-02 16:45:00,290
2060,2022-04-02 17:00:00,266
